AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,LOCATION,Cross Street,LAT,LON
1,Central,164,1,BURGLARY,35,M,W,600 S  SPRING                       ST,,"34,046","-1,182,509"
2,Rampart,233,1,BURGLARY,0,X,X,2700    BEVERLY                      BL,,"340,699","-1,182,777"
2,Rampart,245,1,BURGLARY,0,X,X,600 S  PARK VIEW                    ST,,"340,612","-1,182,785"
2,Rampart,233,1,BURGLARY,32,M,A,200 S  LA FAYETTE PARK              PL,,"340,671","-1,182,806"
2,Rampart,245,1,BURGLARY,19,X,X,2200 W  3RD                          ST,,"340,633","-1,182,738"
1,Central,162,1,BURGLARY,0,X,X,500 W  7TH                          ST,,"340,467","-1,182,556"
2,Rampart,233,1,BURGLARY,55,F,H,2400    HYANS                        ST,,"340,723","-1,182,767"
2,Rampart,233,1,BURGLARY,24,M,B,100 S  OCCIDENTAL                   BL,,"340,709","-1,182,801"
2,Rampart,245,1,BURGLARY,49,M,B,600 S  CORONADO                     ST,,"34,062","-1,182,804"
2,Rampart,245,1,BURGLARY,47,F,W,2500 W  6TH                          ST,,"340,616","-1,182,794"
3,Southwest,333,1,BURGLARY,19,X,X,3600    CRENSHAW                     BL,,"340,278","-1,183,378"
1,Central,174,1,BURGLARY,0,X,X,700 S  MAIN                         ST,,"340,439","-1,182,514"
3,Southwest,341,1,BURGLARY,86,F,B,5700    BOWCROFT                     ST,,"340,203","-1,183,692"
2,Rampart,249,1,BURGLARY,24,F,A,1100    WILSHIRE                     BL,,"340,524","-1,182,633"
2,Rampart,217,1,BURGLARY,23,F,W,1900    CLINTON                      ST,,"34,073","-118,264"
9,Van Nuys,974,1,BURGLARY,48,M,W,4600    VAN NUYS                     BL,,"341,548","-1,184,487"
9,Van Nuys,991,1,BURGLARY,44,M,W,15100    ENCANTO                      DR,,"341,466","-118,462"
8,West LA,897,1,BURGLARY,31,M,W,3300 S  BEVERLY                      DR,,"34,031","-1,183,989"
3,Southwest,311,1,BURGLARY,0,X,X,3100 S  LA CIENEGA                   BL,,"340,301","-118,372"
2,Rampart,211,1,BURGLARY,65,M,W,500 N  BERENDO                      ST,,"340,791","-1,182,941"
7,Wilshire,702,1,BURGLARY,41,M,W,700 N  SIERRA BONITA                AV,,"340,837","-1,183,543"
3,Southwest,325,1,BURGLARY,66,F,B,1400 W  29TH                         ST,,"340,307","-1,182,923"
3,Southwest,393,1,BURGLARY,73,M,B,3200 W  VERNON                       AV,,"340,074","-118,329"
3,Southwest,391,1,BURGLARY,52,M,B,4200    SANTO TOMAS                  DR,,"340,103","-1,183,456"
16,Foothill,1676,1,BURGLARY,34,M,H,8600    GLENOAKS                     BL,,"342,265","-1,183,632"
3,Southwest,392,1,BURGLARY,55,M,B,2300 W  48TH                         ST,,"340,001","-1,183,181"
3,Southwest,318,1,BURGLARY,41,M,H,1400 W  23RD                         ST,,"340,352","-118,289"
3,Southwest,376,1,BURGLARY,44,F,H,3900    LA SALLE                     AV,,"340,146","-1,183,057"
