AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,LOCATION,Cross Street,LAT,LON
4,Hollenbeck,427,1,BURGLARY,51,F,O,4400    BOWMAN                       BL,,"340,796","-1,181,879"
1,Central,174,1,BURGLARY,0,X,X,100 W  7TH                          ST,,"340,439","-1,182,514"
9,Van Nuys,941,1,BURGLARY,45,F,B,15300    OXNARD                       ST,,"341,794","-1,184,662"
3,Southwest,317,1,BURGLARY,19,X,X,1400 W  ADAMS                        BL,,"340,349","-1,182,959"
3,Southwest,326,1,BURGLARY,44,F,H,2600    KENWOOD                      AV,,"340,309","-1,182,991"
6,Hollywood,656,1,BURGLARY,26,M,B,6200    SANTA MONICA                 BL,,"340,908","-1,183,244"
8,West LA,855,1,BURGLARY,0,X,X,1700    WESTWOOD                     BL,,"340,519","-1,184,388"
3,Southwest,361,1,BURGLARY,19,X,X,3700 S  LA BREA                      AV,,"340,199","-1,183,556"
10,West Valley,1049,1,BURGLARY,0,M,W,16200    BURBANK                      BL,,"341,705","-1,184,785"
4,Hollenbeck,438,1,BURGLARY,0,M,W,5400    ALHAMBRA                     AV,,"340,771","-1,181,681"
4,Hollenbeck,464,1,BURGLARY,0,M,W,2200 E  1ST                          ST,,"340,444","-1,182,125"
6,Hollywood,646,1,BURGLARY,29,M,W,6700    SELMA                        AV,,"340,997","-1,183,366"
1,Central,162,1,BURGLARY,34,M,W,800 S  OLIVE                        ST,,"340,452","-1,182,569"
8,West LA,847,1,BURGLARY,0,X,X,2200 S  BEVERLY GLEN                 BL,,"34,05","-1,184,202"
7,Wilshire,737,1,BURGLARY,32,M,O,5100    WILSHIRE                     BL,,"340,622","-1,183,408"
11,Northeast,1173,1,BURGLARY,39,M,W,1900    PRESTON                      AV,,"340,867","-1,182,529"
1,Central,134,1,BURGLARY,41,M,W,300 S  BROADWAY,,"34,051","-118,248"
5,Harbor,509,1,BURGLARY,0,X,X,1400 W  LOMITA                       BL,,"337,978","-1,183,015"
1,Central,111,1,BURGLARY,29,F,B,700 N  SPRING                       ST,,"340,599","-1,182,379"
5,Harbor,514,1,BURGLARY,69,M,H,1200 W  PACIFIC COAST                HY,,"337,904","-118,278"
7,Wilshire,711,1,BURGLARY,32,F,O,8400    BEVERLY                      BL,,"340,782","-1,183,695"
10,West Valley,1063,1,BURGLARY,0,M,O,18500 W  VENTURA                      BL,,"341,688","-1,185,361"
7,Wilshire,702,1,BURGLARY,19,M,O,7400    MELROSE                      AV,,"340,836","-1,183,511"
7,Wilshire,777,1,BURGLARY,52,M,H,1700    BUCKINGHAM                   RD,,"340,405","-118,336"
5,Harbor,566,1,BURGLARY,0,X,X,700 S  PACIFIC                      AV,,"337,374","-1,182,879"
3,Southwest,333,1,BURGLARY,19,X,X,2800    CRENSHAW                     BL,,"340,278","-1,183,378"
6,Hollywood,626,1,BURGLARY,0,X,X,2100    VINE                         ST,,"341,129","-118,328"
1,Central,153,1,BURGLARY,25,M,H,600 S  SPRING                       ST,,"340,467","-118,252"
8,West LA,817,1,BURGLARY,0,X,X,1000    GLENDON                      AV,,"340,625","-118,444"
3,Southwest,337,1,BURGLARY,38,F,B,3000    HALLDALE                     AV,,"340,273","-1,183,028"
7,Wilshire,706,1,BURGLARY,29,M,H,800 N  LA BREA                      AV,,"340,853","-1,183,441"
2,Rampart,219,1,BURGLARY,0,X,X,1000 W  TEMPLE                       ST,,"340,677","-118,252"
1,Central,148,1,BURGLARY,56,F,B,400 S  SAN PEDRO                    ST,,"340,458","-118,243"
11,Northeast,1112,1,BURGLARY,36,M,A,4300    YORK                         BL,,"341,283","-1,182,299"
5,Harbor,563,1,BURGLARY,42,M,W,600 W  16TH                         ST,,"337,297","-1,182,906"
9,Van Nuys,989,1,BURGLARY,56,M,O,13900 W  VENTURA                      BL,,"341,487","-1,184,354"
10,West Valley,1007,1,BURGLARY,41,M,H,7900    BALBOA                       BL,,"342,142","-1,185,011"
3,Southwest,314,1,BURGLARY,48,M,W,2400    4TH                          AV,,"340,351","-1,183,213"
11,Northeast,1161,1,BURGLARY,25,F,A,1100 N  NORMANDIE                    AV,,"340,908","-1,183,005"
8,West LA,827,1,BURGLARY,61,M,W,11600    MONTANA                      AV,,"34,057","-1,184,646"
7,Wilshire,702,1,BURGLARY,19,M,O,7300    MELROSE                      AV,,"340,836","-1,183,487"
6,Hollywood,677,1,BURGLARY,32,M,O,5400    LEMON GROVE                  AV,,"340,867","-1,183,106"
10,West Valley,1075,1,BURGLARY,45,M,O,4900    ALONZO                       AV,,"341,593","-1,185,208"
10,West Valley,1011,1,BURGLARY,62,M,A,7400    TAMPA                        AV,,"342,048","-1,185,535"
10,West Valley,1011,1,BURGLARY,32,M,H,7400    WILBUR                       AV,,"342,048","-1,185,448"
6,Hollywood,632,1,BURGLARY,33,M,W,5100    GOULD                        AV,,"341,059","-1,183,696"
8,West LA,835,1,BURGLARY,0,X,X,10800 W  OLYMPIC                      BL,,"340,462","-1,184,361"
5,Harbor,526,1,BURGLARY,66,M,H,300    ROSS                         PL,,"337,817","-1,182,667"
7,Wilshire,743,1,BURGLARY,38,F,W,5800 W  OLYMPIC                      BL,,"340,575","-1,183,559"
5,Harbor,529,1,BURGLARY,0,X,X,200 E  ANAHEIM                      ST,,"337,801","-1,182,608"
6,Hollywood,643,1,BURGLARY,0,X,X,7200    FRANKLIN                     AV,,"341,034","-118,349"
8,West LA,835,1,BURGLARY,0,X,X,1800    GREENFIELD                   AV,,"340,481","-1,184,408"
5,Harbor,514,1,BURGLARY,66,F,H,1200 W  PACIFIC COAST                HY,,"337,904","-118,278"
7,Wilshire,729,1,BURGLARY,51,F,W,100 S  ARDEN                        BL,,"340,711","-118,326"
9,Van Nuys,909,1,BURGLARY,0,X,X,7500    WOODMAN                      PL,,"342,072","-1,184,312"
4,Hollenbeck,422,1,BURGLARY,0,M,W,3300    MANITOU                      AV,,"340,719","-1,182,065"
7,Wilshire,702,1,BURGLARY,0,M,O,7500    MELROSE                      AV,,"340,837","-1,183,532"
3,Southwest,311,1,BURGLARY,70,M,W,3300 S  LA CIENEGA                   BL,,"340,282","-118,372"
7,Wilshire,702,1,BURGLARY,0,X,X,7500    MELROSE                      AV,,"340,837","-1,183,532"
3,Southwest,351,1,BURGLARY,19,X,X,5000    OBAMA                        BL,,"34,023","-118,351"
1,Central,162,1,BURGLARY,34,M,B,800 S  OLIVE                        ST,,"340,452","-1,182,569"
3,Southwest,311,1,BURGLARY,80,F,B,5600    BODEN                        ST,,"340,279","-1,183,683"
9,Van Nuys,931,1,BURGLARY,57,M,W,15500    ERWIN                        ST,,"34,183","-1,184,704"
9,Van Nuys,923,1,BURGLARY,58,F,W,6700 N  SEPULVEDA                    BL,,"341,921","-1,184,662"
3,Southwest,329,1,BURGLARY,19,X,X,500 W  ADAMS                        BL,,"340,277","-1,182,749"
9,Van Nuys,926,1,BURGLARY,43,M,H,14400    VICTORY                      BL,,"341,903","-1,184,399"
4,Hollenbeck,477,1,BURGLARY,0,M,W,900 S  SOTO                         ST,,"340,344","-1,182,157"
7,Wilshire,702,1,BURGLARY,46,F,H,800 N  FULLER                       AV,,"340,853","-1,183,499"
7,Wilshire,775,1,BURGLARY,24,F,B,4700    ST ELMO                      DR,,"340,427","-1,183,423"
11,Northeast,1174,1,BURGLARY,30,F,W,2200    ECHO PARK                    AV,,"340,914","-1,182,492"
2,Rampart,269,1,BURGLARY,25,M,H,700 S  BIXEL                        ST,,"340,509","-1,182,642"
8,West LA,847,1,BURGLARY,37,M,W,10300 W  OLYMPIC                      BL,,"340,528","-1,184,167"
1,Central,119,1,BURGLARY,0,M,W,400    BAUCHET                      ST,,"340,587","-118,233"
9,Van Nuys,963,1,BURGLARY,29,F,W,14600    HESBY                        ST,,"341,621","-1,184,513"
7,Wilshire,722,1,BURGLARY,72,M,O,400 S  SAN VICENTE                  BL,,"340,709","-1,183,761"
9,Van Nuys,914,1,BURGLARY,55,M,W,15000    BASSETT                      ST,,"341,962","-1,184,596"
6,Hollywood,678,1,BURGLARY,47,M,B,5200    ROMAINE                      ST,,"340,885","-1,183,056"
6,Hollywood,678,1,BURGLARY,43,F,O,4800 W  MELROSE                      AV,,"340,864","-1,183,059"
3,Southwest,356,1,BURGLARY,29,F,B,1500 W  35TH                         ST,,"340,246","-1,183,031"
8,West LA,824,1,BURGLARY,72,F,W,1100    CORSICA                      DR,,"340,482","-1,185,056"
7,Wilshire,782,1,BURGLARY,61,F,W,6000    VENICE                       BL,,"340,374","-118,374"
7,Wilshire,726,1,BURGLARY,31,F,W,7200    BEVERLY                      BL,,"340,762","-1,183,469"
7,Wilshire,749,1,BURGLARY,29,F,A,800    CRENSHAW                     BL,,"340,585","-1,183,262"
1,Central,111,1,BURGLARY,43,M,W,900    MEI LING                     WY,,"340,649","-1,182,381"
2,Rampart,218,1,BURGLARY,37,M,W,1100    ECHO PARK                    AV,,"340,748","-1,182,586"
6,Hollywood,643,1,BURGLARY,32,M,W,1600 N  POINSETTIA                   PL,,"340,998","-1,183,479"
3,Southwest,379,1,BURGLARY,29,F,B,1000    LEIGHTON                     AV,,"340,132","-1,182,915"
3,Southwest,325,1,BURGLARY,20,F,W,2700    MENLO                        AV,,"340,304","-1,182,903"
1,Central,195,1,BURGLARY,0,X,X,16TH,LOS ANGELES,"34,033","-1,182,615"
8,West LA,802,1,BURGLARY,66,F,W,1300    MONUMENT                     ST,,"34,053","-1,185,251"
7,Wilshire,701,1,BURGLARY,25,F,W,900 N  ALFRED                       ST,,"34,087","-1,183,753"
2,Rampart,271,1,BURGLARY,20,F,H,1000 S  PARK VIEW                    ST,,"340,533","-1,182,829"
7,Wilshire,722,1,BURGLARY,0,M,O,100 S  FLORES                       ST,,"340,732","-1,183,711"
7,Wilshire,722,1,BURGLARY,37,F,O,400 S  SAN VICENTE                  BL,,"340,715","-1,183,764"
7,Wilshire,758,1,BURGLARY,60,M,A,4500 W  12TH                         ST,,"340,519","-1,183,325"
10,West Valley,1047,1,BURGLARY,34,F,F,5600    ALDEA                        AV,,"341,722","-1,185,076"
5,Harbor,514,1,BURGLARY,0,X,X,1200 W  PACIFIC COAST                HY,,"337,904","-118,278"
10,West Valley,1044,1,BURGLARY,0,M,O,6000    RESEDA                       BL,,"341,791","-118,536"
4,Hollenbeck,471,1,BURGLARY,0,M,W,500 S  CLARENCE                     ST,,"340,409","-1,182,234"
9,Van Nuys,911,1,BURGLARY,28,M,H,15300    GAULT                        ST,,"341,993","-1,184,662"
3,Southwest,363,1,BURGLARY,19,X,X,3700    SANTA ROSALIA                DR,,"340,072","-1,183,373"
7,Wilshire,729,1,BURGLARY,60,M,W,100 S  LARCHMONT                    BL,,"340,712","-1,183,236"
11,Northeast,1148,1,BURGLARY,51,M,H,4700    GLENALBYN                    DR,,"341,012","-118,209"
7,Wilshire,737,1,BURGLARY,41,M,W,5100    WILSHIRE                     BL,,"340,622","-1,183,408"
9,Van Nuys,966,1,BURGLARY,34,F,O,13300 W  RIVERSIDE                    DR,,"341,576","-1,184,231"
2,Rampart,218,1,BURGLARY,27,F,W,1100    LEMOYNE                      ST,,"340,757","-1,182,605"
1,Central,181,1,BURGLARY,37,M,B,1200 S  FIGUEROA                     ST,,"340,431","-1,182,692"
8,West LA,842,1,BURGLARY,23,M,W,11700    WILSHIRE                     BL,,"340,495","-1,184,609"
1,Central,162,1,BURGLARY,37,F,H,OLIVE                        ST,8TH                          ST,"340,437","-1,182,582"
2,Rampart,249,1,BURGLARY,25,F,B,600    SAINT PAUL                   AV,,"340,535","-1,182,609"
9,Van Nuys,923,1,BURGLARY,36,M,B,14500    HAMLIN                       ST,,"341,887","-1,184,487"
6,Hollywood,679,1,BURGLARY,33,F,H,900 N  ARDMORE                      AV,,"340,863","-1,183,019"
9,Van Nuys,963,1,BURGLARY,46,F,O,14700    VALLEYHEART                  DR,,"341,584","-1,184,531"
1,Central,163,1,BURGLARY,0,M,W,800 S  BROADWAY,,"340,438","-1,182,547"
6,Hollywood,615,1,BURGLARY,68,M,W,3400    WONDER VIEW                  DR,,"341,298","-1,183,403"
8,West LA,828,1,BURGLARY,46,M,W,10600    WILSHIRE                     BL,,"340,649","-1,184,372"
8,West LA,884,1,BURGLARY,0,X,X,2300    WESTWOOD                     BL,,"340,423","-1,184,304"
5,Harbor,505,1,BURGLARY,0,X,X,19700 S  VERMONT                      AV,,"338,516","-1,182,905"
8,West LA,808,1,BURGLARY,49,M,O,9800    CARDIGAN                     PL,,"341,234","-1,184,326"
10,West Valley,1067,1,BURGLARY,0,M,W,17500    VENTURA                      BL,,"34,166","-1,185,095"
7,Wilshire,784,1,BURGLARY,50,M,W,2300    ALSACE                       AV,,"340,363","-1,183,537"
1,Central,192,1,BURGLARY,70,F,W,1600 S  HOPE                         ST,,"340,363","-1,182,677"
8,West LA,853,1,BURGLARY,38,F,A,1800    BELOIT                       AV,,"340,445","-1,184,452"
11,Northeast,1142,1,BURGLARY,49,M,W,4400    AVOCADO                      ST,,"341,112","-1,182,853"
7,Wilshire,745,1,BURGLARY,37,M,W,HAUSER                       BL,OLYMPIC                      BL,"340,574","-1,183,536"
7,Wilshire,722,1,BURGLARY,39,M,O,400 S  SAN VICENTE                  BL,,"340,715","-1,183,764"
10,West Valley,1011,1,BURGLARY,57,M,O,7400    CALVIN                       AV,,"342,047","-1,185,557"
8,West LA,857,1,BURGLARY,43,F,W,1100 S  WETHERLY                     DR,,"340,557","-1,183,889"
7,Wilshire,737,1,BURGLARY,81,M,W,300 S  ORANGE                       DR,,"340,669","-1,183,419"
2,Rampart,205,1,BURGLARY,29,M,X,600 N  DILLON                       ST,,"340,784","-1,182,792"
9,Van Nuys,969,1,BURGLARY,58,F,W,5100    COLDWATER CANYON             AV,,"341,634","-1,184,137"
20,Olympic,2001,1,BURGLARY,0,X,X,600 N  BRONSON                      AV,,"340,817","-1,183,179"
11,Northeast,1141,1,BURGLARY,0,X,X,4700    FRANKLIN                     AV,,"341,054","-1,182,918"
7,Wilshire,774,1,BURGLARY,32,F,H,1600 S  LA BREA                      AV,,"340,457","-1,183,455"
5,Harbor,585,1,BURGLARY,38,M,H,1000 W  25TH                         ST,,"337,216","-1,182,995"
3,Southwest,326,1,BURGLARY,19,X,X,2600 S  WESTERN                      AV,,"340,327","-118,309"
8,West LA,841,1,BURGLARY,32,M,W,1300    CENTINELA                    AV,,"34,039","-1,184,682"
8,West LA,841,1,BURGLARY,43,F,A,12000    WILSHIRE                     BL,,"34,045","-1,184,663"
7,Wilshire,767,1,BURGLARY,31,F,B,4000    VENICE                       BL,,"340,457","-1,183,255"
6,Hollywood,643,1,BURGLARY,0,M,X,7100    HAWTHORN                     AV,,"340,998","-1,183,451"
11,Northeast,1146,1,BURGLARY,45,M,H,1700    BLAKE                        AV,,"340,962","-1,182,424"
8,West LA,842,1,BURGLARY,25,M,W,1200 S  WESTGATE                     AV,,"34,047","-1,184,632"
7,Wilshire,736,1,BURGLARY,59,M,W,300 S  DETROIT                      ST,,"340,689","-1,183,451"
1,Central,111,1,BURGLARY,0,M,W,700    NEW HIGH                     ST,,"340,601","-1,182,386"
9,Van Nuys,941,1,BURGLARY,41,M,W,5900    SEPULVEDA                    BL,,"341,776","-1,184,662"
2,Rampart,204,1,BURGLARY,45,M,O,900    MICHELTORENA                 ST,,"340,857","-1,182,812"
6,Hollywood,637,1,BURGLARY,33,M,W,1800    VINE                         ST,,"341,037","-1,183,267"
9,Van Nuys,901,1,BURGLARY,0,X,X,7600    SEPULVEDA                    BL,,"342,085","-1,184,698"
7,Wilshire,738,1,BURGLARY,55,F,B,300 S  MANSFIELD                    AV,,"340,689","-1,183,408"
3,Southwest,393,1,BURGLARY,19,X,X,4200    CRENSHAW                     BL,,"340,085","-1,183,351"
3,Southwest,353,1,BURGLARY,38,F,B,3600    VIRGINIA                     RD,,"340,231","-1,183,393"
9,Van Nuys,906,1,BURGLARY,31,M,H,14300    VALERIO                      ST,,"342,048","-1,184,443"
11,Northeast,1141,1,BURGLARY,59,F,A,1700 N  MARIPOSA                     AV,,"341,018","-1,182,995"
9,Van Nuys,981,1,BURGLARY,66,M,W,4400 N  SEPULVEDA                    BL,,"34,15","-1,184,674"
8,West LA,805,1,BURGLARY,0,X,X,1400 N  SEPULVEDA                    BL,,"340,874","-1,184,746"
7,Wilshire,701,1,BURGLARY,38,M,W,8100    MELROSE                      AV,,"340,837","-1,183,665"
9,Van Nuys,966,1,BURGLARY,52,M,O,13300    MARGATE                      ST,,"341,675","-1,184,236"
7,Wilshire,725,1,BURGLARY,19,M,O,7400    BEVERLY                      BL,,"340,762","-1,183,517"
6,Hollywood,646,1,BURGLARY,0,X,X,1600    SCHRADER                     BL,,"340,998","-1,183,325"
11,Northeast,1171,1,BURGLARY,53,M,W,1500    MICHELTORENA                 ST,,"34,089","-1,182,749"
7,Wilshire,713,1,BURGLARY,40,M,O,300 N  ORANGE GROVE                 AV,,"340,761","-1,183,604"
7,Wilshire,782,1,BURGLARY,41,F,B,5900    VENICE                       BL,,"340,397","-118,37"
6,Hollywood,648,1,BURGLARY,0,X,X,1500 N  WESTERN                      AV,,"340,982","-1,183,092"
6,Hollywood,625,1,BURGLARY,49,F,W,6400 W  PARK GLENN                   DR,,"341,187","-1,183,418"
7,Wilshire,749,1,BURGLARY,47,M,A,1000 S  PLYMOUTH                     BL,,"340,561","-1,183,264"
2,Rampart,237,1,BURGLARY,24,M,H,1300 W  2ND                          ST,,"340,609","-1,182,586"
8,West LA,897,1,BURGLARY,37,M,W,3000 S  BEVERLY                      DR,,"340,333","-118,398"
1,Central,192,1,BURGLARY,53,F,H,1800 S  HOPE                         ST,,"340,348","-1,182,687"
1,Central,139,1,BURGLARY,36,F,A,300    AVERY                        ST,,"340,455","-1,182,348"
8,West LA,831,1,BURGLARY,31,M,W,12300    MONTANA                      AV,,"340,475","-1,184,763"
9,Van Nuys,948,1,BURGLARY,42,M,O,13500    CHANDLER                     BL,,"341,725","-1,184,268"
7,Wilshire,753,1,BURGLARY,58,M,W,5700    SAN VICENTE                  BL,,"340,552","-1,183,577"
6,Hollywood,663,1,BURGLARY,0,X,X,900 N  SYCAMORE                     AV,,"340,871","-1,183,428"
11,Northeast,1144,1,BURGLARY,0,X,X,2200    MICHELTORENA                 ST,,"340,997","-1,182,695"
6,Hollywood,625,1,BURGLARY,55,M,W,2200    MARAVILLA                    DR,,"341,098","-1,183,432"
8,West LA,834,1,BURGLARY,57,M,O,10600    WILKINS                      AV,,"340,563","-1,184,347"
8,West LA,835,1,BURGLARY,55,M,W,1900    TRANSIENT                    AV,,"340,462","-1,184,361"
10,West Valley,1033,1,BURGLARY,40,F,O,6100    RESEDA                       BL,,"341,847","-1,185,441"
8,West LA,855,1,BURGLARY,55,F,O,10800    SANTA MONICA                 BL,,"340,492","-1,184,394"
7,Wilshire,723,1,BURGLARY,0,M,O,100 N  HAYWORTH                     AV,,"340,743","-1,183,626"
8,West LA,884,1,BURGLARY,54,M,W,2300    GLENDON                      AV,,"34,043","-1,184,296"
7,Wilshire,782,1,BURGLARY,50,M,W,6000    VENICE                       BL,,"340,372","-1,183,744"
3,Southwest,338,1,BURGLARY,19,X,X,1000 W  30TH                         ST,,"340,274","-118,284"
7,Wilshire,734,1,BURGLARY,50,M,W,300 S  FULLER                       AV,,"340,688","-1,183,505"
8,West LA,899,1,BURGLARY,0,X,X,8500    VENICE                       BL,,"340,346","-1,183,788"
1,Central,154,1,BURGLARY,0,M,W,100 W  5TH                          ST,,"340,467","-1,182,485"
4,Hollenbeck,464,1,BURGLARY,0,X,X,2200 E  1ST                          ST,,"340,444","-1,182,125"
8,West LA,832,1,BURGLARY,37,F,W,11600    GOSHEN                       AV,,"340,517","-1,184,599"
3,Southwest,355,1,BURGLARY,36,M,H,OBAMA,CIMARRON                     ST,"340,183","-1,183,161"
1,Central,101,1,BURGLARY,38,M,W,1000    WHITE KNOLL                  DR,,"340,695","-1,182,469"
3,Southwest,343,1,BURGLARY,19,X,X,5100    RODEO                        RD,,"340,216","-1,183,556"
8,West LA,855,1,BURGLARY,74,F,W,1500    MIDVALE                      AV,,"340,516","-1,184,398"
8,West LA,802,1,BURGLARY,59,F,W,1000    MONUMENT                     ST,,"340,469","-1,185,242"
7,Wilshire,736,1,BURGLARY,32,M,B,400 S  DETROIT                      ST,,"340,649","-1,183,451"
7,Wilshire,719,1,BURGLARY,54,M,H,5600 W  MELROSE                      AV,,"340,835","-1,183,231"
2,Rampart,205,1,BURGLARY,0,X,X,600 N  DILLON                       ST,,"340,784","-1,182,792"
8,West LA,816,1,BURGLARY,68,M,W,400    KELTON                       AV,,"340,704","-1,184,539"
5,Harbor,519,1,BURGLARY,60,F,W,1200 E  PACIFIC COAST                HY,,"337,974","-1,182,372"
9,Van Nuys,943,1,BURGLARY,52,M,W,5600    STANSBURY                    AV,,"341,721","-1,184,411"
9,Van Nuys,941,1,BURGLARY,70,M,O,15300    OXNARD                       ST,,"341,794","-1,184,672"
7,Wilshire,702,1,BURGLARY,0,M,O,7700 W  MELROSE                      AV,,"340,837","-1,183,575"
7,Wilshire,701,1,BURGLARY,36,F,A,7900 W  MELROSE                      AV,,"340,838","-1,183,614"
1,Central,166,1,BURGLARY,65,M,B,600 S  SAN PEDRO                    ST,,"340,421","-1,182,469"
4,Hollenbeck,497,1,BURGLARY,0,M,W,3000 E  PICO                         BL,,"340,188","-1,182,159"
1,Central,147,1,BURGLARY,0,X,X,300 E  4TH                          ST,,"340,464","-1,182,447"
6,Hollywood,669,1,BURGLARY,41,F,H,5400    VIRGINIA                     AV,,"340,919","-1,183,085"
9,Van Nuys,938,1,BURGLARY,71,M,B,6100    NAGLE                        AV,,"341,813","-1,184,236"
9,Van Nuys,989,1,BURGLARY,43,F,O,4200    DIXIE CANYON                 AV,,"34,147","-1,184,249"
2,Rampart,269,1,BURGLARY,64,M,O,1400 W  7TH                          ST,,"340,527","-1,182,685"
3,Southwest,393,1,BURGLARY,26,F,H,2800 W  42ND                         ST,,"340,072","-1,183,239"
11,Northeast,1132,1,BURGLARY,54,M,O,3900    LOS FELIZ                    BL,,"341,139","-118,277"
7,Wilshire,762,1,BURGLARY,51,M,H,1500 S  LA CIENEGA                   BL,,"340,507","-1,183,761"
6,Hollywood,645,1,BURGLARY,38,F,W,1800    OUTPOST                      DR,,"341,041","-1,183,439"
7,Wilshire,706,1,BURGLARY,28,M,O,700 N  CHEROKEE                     AV,,"340,835","-1,183,352"
11,Northeast,1113,1,BURGLARY,0,M,O,2300    LOY                          LN,,"341,375","-1,182,173"
7,Wilshire,753,1,BURGLARY,29,M,W,1000 S  ORANGE GROVE                 AV,,"340,575","-118,363"
9,Van Nuys,931,1,BURGLARY,29,M,H,15300    VICTORY                      BL,,"341,867","-1,184,662"
11,Northeast,1146,1,BURGLARY,59,M,H,1700    BLAKE                        AV,,"340,962","-1,182,424"
7,Wilshire,734,1,BURGLARY,31,M,A,6200 W  3RD                          ST,,"340,708","-1,183,563"
1,Central,159,1,BURGLARY,0,X,X,500 S  ALAMEDA                      ST,,"340,399","-1,182,383"
7,Wilshire,723,1,BURGLARY,0,F,W,8200 W  3RD                          ST,,"340,724","-118,368"
6,Hollywood,643,1,BURGLARY,26,M,W,1700 N  FULLER                       AV,,"341,016","-1,183,489"
11,Northeast,1158,1,BURGLARY,32,M,W,600    ISABEL                       ST,,"340,951","-1,182,171"
3,Southwest,363,1,BURGLARY,39,F,H,4000    PALMYRA                      RD,,"340,142","-1,183,423"
7,Wilshire,767,1,BURGLARY,27,M,W,4100 W  PICO                         BL,,"340,476","-1,183,246"
6,Hollywood,622,1,BURGLARY,38,F,W,7200    FRANKLIN                     AV,,"341,146","-1,183,607"
9,Van Nuys,926,1,BURGLARY,58,M,B,6700    SYLMAR                       AV,,"341,923","-1,184,466"
7,Wilshire,739,1,BURGLARY,67,F,W,400 S  LUCERNE                      BL,,"340,671","-1,183,244"
1,Central,145,1,BURGLARY,68,F,B,400 S  MAIN                         ST,,"340,478","-1,182,475"
8,West LA,881,1,BURGLARY,0,X,X,12100 W  PICO                         BL,,"340,341","-1,184,525"
1,Central,148,1,BURGLARY,0,M,W,500 E  4TH                          ST,,"340,449","-1,182,415"
4,Hollenbeck,461,1,BURGLARY,0,M,W,100 S  UTAH                         ST,,"340,476","-1,182,252"
3,Southwest,377,1,BURGLARY,42,M,W,3800 S  BUDLONG                      AV,,"340,145","-118,298"
1,Central,195,1,BURGLARY,52,M,O,200 E  18TH                         ST,,"340,317","-1,182,626"
2,Rampart,216,1,BURGLARY,19,X,X,2100 W  SUNSET                       BL,,"340,776","-1,182,635"
1,Central,154,1,BURGLARY,33,F,B,100 W  5TH                          ST,,"340,467","-1,182,485"
5,Harbor,555,1,BURGLARY,34,F,W,800 W  SEPULVEDA                    ST,,"337,456","-1,182,945"
11,Northeast,1158,1,BURGLARY,40,M,W,4200    MARMION                      WY,,"340,951","-1,182,171"
1,Central,182,1,BURGLARY,30,F,W,900 S  HILL                         ST,,"34,042","-1,182,625"
8,West LA,852,1,BURGLARY,0,X,X,1500    GRANVILLE                    AV,,"340,429","-1,184,581"
6,Hollywood,645,1,BURGLARY,33,M,W,7000    LANEWOOD                     AV,,"340,992","-1,183,417"
8,West LA,827,1,BURGLARY,0,X,X,11600    SAN VICENTE                  BL,,"340,579","-1,184,683"
10,West Valley,1043,1,BURGLARY,33,M,W,5900    RESEDA                       BL,,"341,769","-1,185,384"
10,West Valley,1006,1,BURGLARY,56,F,W,17600    BLYTHE                       ST,,"342,149","-1,185,176"
8,West LA,881,1,BURGLARY,39,M,W,11600 W  OLYMPIC                      BL,,"340,354","-118,446"
8,West LA,853,1,BURGLARY,38,F,W,1500    FEDERAL                      AV,,"340,456","-1,184,547"
11,Northeast,1171,1,BURGLARY,0,X,X,3900 W  SUNSET                       BL,,"340,917","-1,182,741"
7,Wilshire,767,1,BURGLARY,38,F,H,4100 W  PICO                         BL,,"340,476","-1,183,245"
6,Hollywood,663,1,BURGLARY,36,M,H,1200 N  MANSFIELD                    AV,,"340,926","-1,183,405"
1,Central,145,1,BURGLARY,43,M,W,400 S  MAIN                         ST,,"340,478","-1,182,475"
10,West Valley,1047,1,BURGLARY,0,M,W,17600    BURBANK                      BL,,"341,723","-1,185,163"
2,Rampart,257,1,BURGLARY,52,M,B,600    WITMER                       ST,,"340,555","-1,182,655"
4,Hollenbeck,461,1,BURGLARY,0,M,W,200 S  MISSION                      RD,,"340,452","-1,182,278"
8,West LA,849,1,BURGLARY,60,F,W,8700 W  OLYMPIC                      BL,,"340,594","-1,183,819"
8,West LA,832,1,BURGLARY,59,F,W,11700    KIOWA                        AV,,"340,498","-1,184,641"
3,Southwest,321,1,BURGLARY,19,M,X,3400 S  LA CIENEGA                   BL,,"340,264","-1,183,721"
9,Van Nuys,952,1,BURGLARY,43,M,W,5200    VAN NUYS                     BL,,"341,684","-1,184,586"
7,Wilshire,736,1,BURGLARY,0,M,O,400 S  CLOVERDALE                   AV,,"340,669","-1,183,462"
7,Wilshire,702,1,BURGLARY,43,M,W,600 N  MARTEL                       AV,,"340,818","-1,183,511"
10,West Valley,1039,1,BURGLARY,0,M,W,15700    VANOWEN                      ST,,"341,939","-1,184,756"
11,Northeast,1151,1,BURGLARY,0,X,X,5000 W  SUNSET                       BL,,"340,981","-1,182,983"
10,West Valley,1005,1,BURGLARY,62,M,W,8100    LINDLEY                      AV,,"342,175","-1,185,274"
10,West Valley,1034,1,BURGLARY,53,M,A,6200    ZELZAH                       AV,,"341,819","-1,185,229"
10,West Valley,1099,1,BURGLARY,51,F,W,4200 N  SEPULVEDA                    BL,,"341,469","-1,184,717"
